Area Code;Area;Item Code;Item;Element Code;Element;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
5102;Middle Africa;6815;Transport;7225;CH4 emissions;kilotonnes;0,114039;0,106475;0,102588;0,107007;0,108401;0,101372;0,098836;0,10041;0,100289;0,099267;0,102947;0,106389;0,112025;0,117344;0,161364;0,147397;0,158155;0,184733;0,215709;0,241163;0,271258;0,300534;0,304814;0,333713;0,373464;0,341461;0,314012;0,282005;0,27874;0,333784
5102;Middle Africa;6815;Transport;7230;N2O emissions;kilotonnes;0,008551;0,008455;0,00824;0,008747;0,009235;0,009033;0,008947;0,009252;0,009363;0,009611;0,009953;0,010201;0,010713;0,011793;0,016118;0,014684;0,018394;0,021445;0,024612;0,027171;0,030217;0,033173;0,051049;0,055046;0,060927;0,055138;0,047478;0,031732;0,0314;0,047283
5103;Northern Africa;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;5247,016943;5404,75848;5495,228655;5671,050341;5969,166163;6138,830742;6402,798662;6529,338268;6949,714343;7308,638611;7591,879979;7745,080708;8194,96043;8513,940543;8944,891706;9176,273066;9730,419864;10399,66428;11241,17885;12155,581;13216,94888;13283,11521;14689,94352;15125,66987;16080,95134;16280,78843;16972,21111;16984,06331;16950,63273;17189,85157
5103;Northern Africa;6815;Transport;7273;CO2 emissions;kilotonnes;5194,779859;5352,33032;5442,290367;5616,834887;5911,849732;6079,897852;6342,045805;6467,719104;6886,174402;7240,6404;7522,631;7673,2055;8118,967;8434,973;8862,8285;9090,562;9641,2355;10304,508;11136,50515;12045,399;13099,726;13166,42339;14559,13473;14990,04478;15935,25611;16129,10007;16813,85681;16827,22628;16791,99462;17033,50258
5103;Northern Africa;6815;Transport;7225;CH4 emissions;kilotonnes;0,944829;0,949338;0,954248;0,973158;1,027945;1,058189;1,066715;1,042919;1,051596;1,068514;1,080155;1,132402;1,21568;1,25473;1,290867;1,330998;1,374499;1,376898;1,518736;1,527334;1,554936;1,534811;1,748408;1,801359;1,855144;1,86575;1,951781;1,990757;2,049981;1,977477
5103;Northern Africa;6815;Transport;7230;N2O emissions;kilotonnes;0,09729;0,097535;0,098941;0,101762;0,107675;0,11058;0,116547;0,12233;0,128661;0,143697;0,147187;0,151577;0,158318;0,165415;0,173279;0,182804;0,191315;0,213597;0,234525;0,254402;0,278055;0,278178;0,308881;0,32146;0,353778;0,375273;0,391338;0,381494;0,382033;0,381055
5104;Southern Africa;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;3349,271297;3337,251625;3374,791018;3439,369345;3557,191265;3981,459533;3922,121093;4016,101908;4009,970559;4062,709974;4072,922589;4192,43427;4248,798579;4472,322101;4705,003032;4902,435538;5029,211662;5519,767436;5532,73066;5322,907084;5497,014663;5724,56709;5750,823112;6311,988236;6066,654936;6362,738893;6093,815048;6347,58597;6396,830059;6633,617425
5104;Southern Africa;6815;Transport;7273;CO2 emissions;kilotonnes;3300,602966;3286,941425;3323,714758;3376,088226;3491,206798;3908,224558;3852,863903;3944,596314;3936,915038;3986,8145;3998,447;4117,665;4173,3345;4394,931;4626,5368;4827,02335;4955,3844;5445,468;5464,456;5256,7475;5432,52733;5657,69371;5684,04971;6240,29332;5999,63149;6290,63688;6022,48113;6274,02223;6322,70136;6558,35221
5104;Southern Africa;6815;Transport;7225;CH4 emissions;kilotonnes;0,829674;0,852447;0,857093;0,873638;0,909913;1,027696;0,953736;0,941859;0,908026;0,885394;0,834236;0,800432;0,7579;0,738176;0,714984;0,68522;0,632151;0,622713;0,550986;0,491381;0,438649;0,454542;0,452868;0,477649;0,451256;0,479196;0,476766;0,491274;0,496654;0,382497
5104;Southern Africa;6815;Transport;7230;N2O emissions;kilotonnes;0,09599;0,09978;0,10218;0,146488;0,152856;0,167772;0,160576;0,170315;0,179739;0,192847;0,192894;0,197574;0,20469;0,214046;0,220553;0,212174;0,2118;0,214579;0,199423;0,197739;0,197001;0,204325;0,204125;0,220078;0,205239;0,221451;0,218809;0,225691;0,227254;0,243605
5105;Western Africa;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;1963,950042;2362,49861;2821,915165;2513,99258;2172,598287;2464,161302;2823,116279;3411,782619;2615,403492;3328,938402;3346,750984;3631,172297;4222,754803;4479,420776;4615,353605;4264,464114;4043,602169;3955,926563;4533,334612;4685,552119;5234,116423;5055,034953;5407,990522;7671,386141;8299,700162;8101,467612;9004,955616;9072,401446;10950,4731;8543,686628
5105;Western Africa;6815;Transport;7273;CO2 emissions;kilotonnes;1934,214762;2327,636111;2781,056804;2478,039916;2140,913897;2430,165235;2785,190962;3364,381099;2579,540358;3280,2034;3296,3659;3576,25165;4157,78365;4414,4434;4550,5247;4199,705;3981,08515;3892,4087;4462,2538;4611,3269;5151,53084;4973,69229;5320,34486;7551,76428;8169,53229;7975,41569;8866,87576;8933,9929;10781,36223;8409,995874
5105;Western Africa;6815;Transport;7225;CH4 emissions;kilotonnes;0,507481;0,594515;0,687282;0,599334;0,522462;0,559673;0,6176;0,762276;0,568065;0,761488;0,76982;0,84825;1,006616;1,012829;1,027857;1,01749;0,995415;1,027535;1,148285;1,201755;1,300269;1,286965;1,387061;1,913721;2,06509;2,001691;2,209752;2,21788;2,702716;2,121437
